threshold,labeled_coverage,labeled_accuracy,operational_auto_rate_all
0.55,0.9,0.8611111111111112,0.6925
0.6000000000000001,0.85,0.8823529411764706,0.679375
0.6500000000000001,0.825,0.8787878787878788,0.660625
0.7000000000000002,0.775,0.8709677419354839,0.646875
0.7500000000000002,0.725,0.8620689655172413,0.624375
0.8000000000000003,0.725,0.8620689655172413,0.605
0.8500000000000003,0.65,0.8461538461538461,0.58
0.9000000000000004,0.55,0.8181818181818182,0.539375
0.9500000000000004,0.475,0.7894736842105263,0.4475
